,year,month,real data,data with prediction for 2023
0,2021,5,1914.1333333333334,1914.1333333333334
1,2021,6,2030.3444444444444,2030.3444444444444
2,2021,7,1942.768817204301,1942.768817204301
3,2021,8,1975.774193548387,1975.774193548387
4,2021,9,1978.9,1978.9
5,2021,10,1964.247311827957,1964.247311827957
6,2021,11,1820.9,1820.9
7,2021,12,1848.094843427789,1848.094843427789
8,2022,1,2159.9547861245874,2159.9547861245874
9,2022,2,2228.433639852719,2228.433639852719
10,2022,3,2015.2369738179293,2015.2369738179293
11,2022,4,1874.5961613000622,1874.5961613000622
12,2022,5,1920.3602150537633,1920.3602150537633
13,2022,6,1178.6277777777777,1178.6277777777777
14,2022,7,661.3548387096774,661.3548387096774
15,2022,8,1485.9354838709678,1485.9354838709678
16,2022,9,1793.7277777777779,1793.7277777777779
17,2022,10,1761.1827956989248,1761.1827956989248
18,2022,11,1846.4,1846.4
19,2022,12,1953.0,1953.0
20,2023,1,1676.532258064516,1986.225592719102
21,2023,2,1807.1845238095239,1577.8060463976644
22,2023,3,1738.1451612903227,1935.5524129830296
23,2023,4,1878.9888888888888,1828.9417046858205
